suburb,lat,lon
 Abbeyard,-37.8100,144.9700
 Abbotsford,-38.3700,144.7700
 Abeckett Street,-37.8200,144.9900
 Aberfeldie,-37.8100,144.9400
 Aberfeldy,-37.8400,144.9800
 Acheron,-37.8400,144.9800
 Ada,-37.8200,144.9500
 Adams Estate,-37.8200,144.9700
 Addington,-37.8200,144.9700
 Adelaide Lead,-37.8100,144.9500
 Agnes,-37.8000,144.9600
 Aire Valley,-37.8000,144.9000
 Aireys Inlet,-37.8000,144.9000
 Airly,-37.8000,144.9000
 Airport West,-37.8100,144.8500
 Albacutya,-37.8100,144.8500
 Albanvale,-37.8100,144.8500
 Albert Park,-37.8100,144.8500
 Alberton,-37.8100,144.8500
 Alberton West,-37.8100,144.8500
 Albion,-37.8200,144.8900
 Alexandra,-37.8200,144.8900
 Alfredton,-37.8400,144.8800
 Allambee,-37.8400,144.8800
 Allambee Reserve,-37.8400,144.8800
 Allambee South,-37.8600,144.9000
 Allans Flat,-37.8600,144.9000
 Allansford,-37.8700,144.8300
 Allendale,-37.8700,144.8300
 Allestree,-37.7800,144.8600
 Alma,-37.7800,144.8600
 Almonds,-37.7800,144.8600
 Almurta,-37.7800,144.8200
 Alphington,-37.7800,144.8200
 Altona,-37.7800,144.8200
 Altona East,-37.7800,144.8200
 Altona Gate,-37.7800,144.8200
 Altona Meadows,-37.7500,144.7700
 Altona North,-37.7500,144.7700
 Alvie,-37.7500,144.7700
 Amherst,-37.7500,144.7700
 Amor,-37.7800,144.8000
 Amphitheatre,-37.7800,144.8000
 Anakie,-37.7500,144.7500
 Ancona,-37.7500,144.7500
 Anderson,-37.7500,144.7500
 Anglers Rest,-37.7500,144.7500
 Anglesea,-37.7500,144.7500
 Annuello,-37.7500,144.7500
 Antwerp,-37.7500,144.7500
 Apollo Bay,-37.9000,144.5600
 Appin,-37.9000,144.5600
 Appin South,-37.9000,144.5600
 Apsley,-37.8400,144.8600
 Arapiles,-37.8400,144.8600
 Ararat,-37.8400,144.8600
 Arawata,-37.8400,144.8000
 Arbuckle,-37.8600,144.7600
 Arcadia,-37.8700,144.7800
 Arcadia South,-37.8700,144.7800
 Archdale,-37.8700,144.7800
 Archdale Junction,-37.8800,144.7000
 Archerton,-37.8800,144.7000
 Archies Creek,-37.8800,144.7000
 Ardeer,-37.9700,144.5800
 Ardmona,-37.9700,144.5800
 Areegra,-37.9700,144.5800
 Argyle,-37.9700,144.5800
 Armadale,-37.9700,144.5800
 Armadale North,-37.9700,144.5800
 Armstrong,-37.7900,144.9300
 Arnold,-37.7900,144.9300
 Arnold West,-37.7800,144.9200
 Arthurs Creek,-37.7800,144.9200
 Arthurs Seat,-37.7800,144.9200
 Ascot,-37.7800,144.9200
 Ascot,-37.7400,144.8000
 Ascot Vale,-37.7400,144.8200
 Ashbourne,-37.7200,144.8300
 Ashburton,-37.7200,144.8300
 Ashwood,-37.7200,144.7800
 Aspendale,-37.7200,144.7800
 Aspendale Gardens,-37.7200,144.7800
 Athlone,-37.7200,144.7800
 Attwood,-37.7200,144.7800
 Aubrey,-37.7300,144.8100
 Auburn,-37.7300,144.8100
 Auburn South,-37.7300,144.8100
 Auchmore,-37.7300,144.8100
 Avalon,-37.7700,144.9200
 Avenel,-37.7600,144.9000
 Avoca,-37.7600,144.9000
 Avon Plains,-37.7600,144.9000
 Avondale Heights,-37.7400,144.9100
 Avonmore,-37.7400,144.9100
 Avonsleigh,-37.7400,144.9100
 Axe Creek,-37.7400,144.9100
 Axedale,-37.7100,144.8900
 Ayrford,-37.7100,144.8900
 Bacchus Marsh,-37.7100,144.8900
 Baddaginnie,-37.6900,144.8800
 Badger Creek,-37.6900,144.8800
 Bael Bael,-37.6900,144.8800
 Bagshot,-37.7300,144.9400
 Bagshot North,-37.7300,144.9400
 Bahgallah,-37.6700,144.8300
